# 25% readers / 75% writers
# JMH 1.11.1 (released 31 days ago)
# VM version: JDK 1.8.0_60, VM 25.60-b23
# VM invoker: C:\Program Files\Java\jre1.8.0_60\bin\java.exe
# VM options: <none>
# Warmup: 5 iterations, 5 ms each
# Measurement: 10 iterations, 5 ms each
# Timeout: 10 min per iteration
# Threads: 30 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.eguimaraes.MyBenchmark.lockFreeBenchmark

# Run progress: 0.00% complete, ETA 00:00:01
# Fork: 1 of 10
# Warmup Iteration   1: 476350.185 ops/s
# Warmup Iteration   2: 1243387.016 ops/s
# Warmup Iteration   3: 1786513.707 ops/s
# Warmup Iteration   4: 1786411.158 ops/s
# Warmup Iteration   5: 1670367.257 ops/s
# Warmup Iteration   5: 30620.560 ops/s
Iteration   1: 88127.408 ops/s
Iteration   2: 24657.682 ops/s
Iteration   3: 52113.779 ops/s
Iteration   4: 18145.643 ops/s
Iteration   5: 13886.206 ops/s
Iteration   6: 20055.198 ops/s
Iteration   7: 65267.862 ops/s
Iteration   8: 18846.701 ops/s
Iteration   9: 49418.610 ops/s
Iteration  10: 62363.451 ops/s

# Run progress: 60.00% complete, ETA 00:01:04
# Fork: 3 of 10
# Warmup Iteration   1: 14374.646 ops/s
# Warmup Iteration   2: 37921.622 ops/s
# Warmup Iteration   3: 47326.323 ops/s
# Warmup Iteration   4: 50685.341 ops/s
# Warmup Iteration   5: 37762.198 ops/s
Iteration   1: 41925.642 ops/s
Iteration   2: 36301.872 ops/s
Iteration   3: 36079.323 ops/s
Iteration   4: 102125.333 ops/s
Iteration   5: 19280.949 ops/s
Iteration   6: 47332.963 ops/s
Iteration   7: 52344.316 ops/s
Iteration   8: 51722.608 ops/s
Iteration   9: 50340.832 ops/s
Iteration  10: 26054.124 ops/s

# Run progress: 65.00% complete, ETA 00:00:53
# Fork: 4 of 10
# Warmup Iteration   1: 7715.875 ops/s
# Warmup Iteration   2: 11873.987 ops/s
# Warmup Iteration   3: 20390.555 ops/s
# Warmup Iteration   4: 19535.048 ops/s
# Warmup Iteration   5: 39647.957 ops/s
Iteration   1: 24010.843 ops/s
Iteration   2: 45259.997 ops/s
Iteration   3: 26634.379 ops/s
Iteration   4: 17494.306 ops/s
Iteration   5: 15508.052 ops/s
Iteration   6: 25648.358 ops/s
Iteration   7: 36652.728 ops/s
Iteration   8: 48744.328 ops/s
Iteration   9: 43118.826 ops/s
Iteration  10: 45387.883 ops/s

# Run progress: 70.00% complete, ETA 00:00:43
# Fork: 5 of 10
# Warmup Iteration   1: 14790.358 ops/s
# Warmup Iteration   2: 45284.537 ops/s
# Warmup Iteration   3: 47247.401 ops/s
# Warmup Iteration   4: 35714.452 ops/s
# Warmup Iteration   5: 54566.985 ops/s
Iteration   1: 80715.643 ops/s
Iteration   2: 23966.159 ops/s
Iteration   3: 31870.473 ops/s
Iteration   4: 14107.075 ops/s
Iteration   5: 12175.725 ops/s
Iteration   6: 64422.366 ops/s
Iteration   7: 49699.912 ops/s
Iteration   8: 36726.362 ops/s
Iteration   9: 56075.824 ops/s
Iteration  10: 40344.800 ops/s

# Run progress: 75.00% complete, ETA 00:00:33
# Fork: 6 of 10
# Warmup Iteration   1: 19034.301 ops/s
# Warmup Iteration   2: 27715.473 ops/s
# Warmup Iteration   3: 24761.136 ops/s
# Warmup Iteration   4: 32751.546 ops/s
# Warmup Iteration   5: 48629.063 ops/s
Iteration   1: 42270.148 ops/s
Iteration   2: 47451.526 ops/s
Iteration   3: 29770.144 ops/s
Iteration   4: 24440.858 ops/s
Iteration   5: 43962.916 ops/s
Iteration   6: 49685.980 ops/s
Iteration   7: 41544.694 ops/s
Iteration   8: 52514.127 ops/s
Iteration   9: 79887.533 ops/s
Iteration  10: 19448.196 ops/s

# Run progress: 80.00% complete, ETA 00:00:25
# Fork: 7 of 10
# Warmup Iteration   1: 15791.159 ops/s
# Warmup Iteration   2: 69734.874 ops/s
# Warmup Iteration   3: 63713.101 ops/s
# Warmup Iteration   4: 56445.021 ops/s
# Warmup Iteration   5: 65803.844 ops/s
Iteration   1: 47509.186 ops/s
Iteration   2: 42981.257 ops/s
Iteration   3: 31915.015 ops/s
Iteration   4: 34377.270 ops/s
Iteration   5: 53032.835 ops/s
Iteration   6: 40897.601 ops/s
Iteration   7: 61534.111 ops/s
Iteration   8: 33264.633 ops/s
Iteration   9: 34876.698 ops/s
Iteration  10: 34069.766 ops/s

# Run progress: 85.00% complete, ETA 00:00:18
# Fork: 8 of 10
# Warmup Iteration   1: 10490.171 ops/s
# Warmup Iteration   2: 21577.897 ops/s
# Warmup Iteration   3: 23836.697 ops/s
# Warmup Iteration   4: 19977.874 ops/s
# Warmup Iteration   5: 39052.890 ops/s
Iteration   1: 53706.645 ops/s
Iteration   2: 53532.715 ops/s
Iteration   3: 87071.796 ops/s
Iteration   4: 16399.165 ops/s
Iteration   5: 15522.826 ops/s
Iteration   6: 18937.653 ops/s
Iteration   7: 28162.626 ops/s
Iteration   8: 25537.592 ops/s
Iteration   9: 40098.121 ops/s
Iteration  10: 82174.399 ops/s

# Run progress: 90.00% complete, ETA 00:00:11
# Fork: 9 of 10
# Warmup Iteration   1: 10600.646 ops/s
# Warmup Iteration   2: 31846.029 ops/s
# Warmup Iteration   3: 27569.281 ops/s
# Warmup Iteration   4: 19703.938 ops/s
# Warmup Iteration   5: 42823.945 ops/s
Iteration   1: 50964.300 ops/s
Iteration   2: 15889.192 ops/s
Iteration   3: 38157.242 ops/s
Iteration   4: 16102.810 ops/s
Iteration   5: 56839.091 ops/s
Iteration   6: 16107.757 ops/s
Iteration   7: 25626.920 ops/s
Iteration   8: 18010.388 ops/s
Iteration   9: 15392.647 ops/s
Iteration  10: 36215.261 ops/s

# Run progress: 95.00% complete, ETA 00:00:05
# Fork: 10 of 10
# Warmup Iteration   1: 5143.548 ops/s
# Warmup Iteration   2: 24944.178 ops/s
# Warmup Iteration   3: 26367.928 ops/s
# Warmup Iteration   4: 23539.074 ops/s
# Warmup Iteration   5: 37320.997 ops/s
Iteration   1: 27555.826 ops/s
Iteration   2: 17122.225 ops/s
Iteration   3: 72076.620 ops/s
Iteration   4: 90846.026 ops/s
Iteration   5: 61385.057 ops/s
Iteration   6: 49766.211 ops/s
Iteration   7: 29433.756 ops/s
Iteration   8: 60520.649 ops/s
Iteration   9: 45067.278 ops/s
Iteration  10: 18431.709 ops/s


Result "synchronizedBenchmark":
  39919.236 ±(99.9%) 6700.836 ops/s [Average]
  (min, avg, max) = (12175.725, 39919.236, 102125.333), stdev = 19757.567
  CI (99.9%): [33218.400, 46620.071] (assumes normal distribution)


# Run complete. Total time: 00:01:48

Benchmark                           Mode  Cnt        Score        Error  Units
MyBenchmark.lockFreeBenchmark      thrpt  100  1602251.116 ± 117638.723  ops/s
MyBenchmark.synchronizedBenchmark  thrpt  100    39919.236 ±   6700.836  ops/s
